gene_id,SRR29040880,SRR29040882
gene-SUSD2|SUSD2,0,0
gene-GLI3|GLI3,321,242
gene-MPLKIP|MPLKIP,514,255
gene-SUGCT|SUGCT,60,135
gene-CDK13|CDK13,4010,2508
gene-YAE1|YAE1,520,115
gene-RALA|RALA,7964,1797
gene-LOC134413475|LOC134413475,0,0
gene-POU6F2|POU6F2,178,13
gene-AMPH|AMPH,45,9
gene-VPS41|VPS41,5246,1394
gene-EPDR1|EPDR1,9,0
gene-GPR141|GPR141,9,0
gene-NME8|NME8,0,0
gene-STARD3NL|STARD3NL,1634,480
gene-ELMO1|ELMO1,8390,572
gene-MATCAP2|MATCAP2,529,98
gene-ANLN|ANLN,15782,356
gene-EEPD1|EEPD1,1500,526
gene-TBX20|TBX20,224,588
gene-NPSR1|NPSR1,0,0
gene-DPY19L1|DPY19L1,1497,660
gene-HERPUD2|HERPUD2,3141,2988
gene-SEPTIN7|SEPTIN7,35546,8296
gene-BMPER|BMPER,1564,215
gene-BBS9|BBS9,2290,1473
gene-RP9|RP9,237,240
gene-NT5C3A|NT5C3A,2267,2014
gene-FKBP9|FKBP9,2059,1218
gene-LOC134397001|LOC134397001,32205,154
gene-KBTBD2|KBTBD2,10686,1037
gene-AVL9|AVL9,1683,585
gene-LSM5|LSM5,1382,294
gene-PPP1R17|PPP1R17,0,0
gene-NEUROD6|NEUROD6,6,0
gene-ITPRID1|ITPRID1,258,74
gene-PDE1C|PDE1C,601,664
gene-ITGA9|ITGA9,694,404
gene-GOLGA4|GOLGA4,6912,5351
gene-LRRFIP2|LRRFIP2,5418,3272
gene-MLH1|MLH1,1864,776
gene-DCLK3|DCLK3,31,161
gene-STAC|STAC,12,30
gene-TRANK1|TRANK1,4688,694
gene-ARPP21|ARPP21,2346,25
gene-PDCD6IP|PDCD6IP,15863,4238
gene-FBXL2|FBXL2,197,191
gene-UBP1|UBP1,1264,1836
gene-SUSD5|SUSD5,34,8
gene-CLASP2|CLASP2,10283,1699
gene-LOC134413524|LOC134413524,1,0
gene-LOC134413548|LOC134413548,1,0
gene-LOC134413551|LOC134413551,1,0
gene-LOC134413439|LOC134413439,1,0
gene-LOC134413546|LOC134413546,1,0
gene-CRTAP|CRTAP,736,423
gene-CCR4|CCR4,8,0
gene-GLB1|GLB1,2444,728
gene-TMPPE|TMPPE,237,21
gene-AHRR|AHRR,689,51
gene-LOC134401493|LOC134401493,1455,628
gene-PDCD6|PDCD6,2946,2104
gene-EXOC3|EXOC3,7062,2891
gene-COBL|COBL,592,606
gene-DDC|DDC,12,8
gene-GRB10|GRB10,3193,2431
gene-SPMIP7|SPMIP7,10,0
gene-FIGNL1|FIGNL1,3498,63
gene-IKZF1|IKZF1,143,38
gene-LOC134392190|LOC134392190,1,0
gene-ZPBP|ZPBP,319,0
gene-VWC2|VWC2,13,3
gene-LOC134401522|LOC134401522,275,88
gene-ABCA13|ABCA13,68,0
gene-LOC134397594|LOC134397594,1509,1346
gene-SUN3|SUN3,1014,182
gene-HUS1|HUS1,555,72
gene-IGFBP1|IGFBP1,98,0
gene-TNS3|TNS3,957,966
gene-IGFBP3|IGFBP3,982,2236
gene-RAMP3|RAMP3,19,61
gene-ADCY1|ADCY1,365,0
gene-PIGA|PIGA,923,39
gene-CHST14|CHST14,474,354
gene-EIF1B|EIF1B,1821,1632
gene-LOC134392239|LOC134392239,0,0
gene-LOC134413491|LOC134413491,16,6
gene-GLRX5|GLRX5,1577,695
gene-PDIA4|PDIA4,12731,3449
gene-CX3CR1|CX3CR1,34,0
gene-SLC25A38|SLC25A38,1068,59
gene-MSANTD3|MSANTD3,406,125
gene-LOC134397808|LOC134397808,4150,214
gene-TEX10|TEX10,9760,840
gene-INVS|INVS,1075,403
gene-NR4A3|NR4A3,106,593
gene-ERP44|ERP44,17729,2607
gene-SEC61B|SEC61B,1863,1811
gene-ALG2|ALG2,3078,597
gene-LOC134401724|LOC134401724,0,0
gene-GLIPR2|GLIPR2,1133,317
gene-RECK|RECK,563,922
gene-TGFBR1|TGFBR1,2157,947
gene-COL15A1|COL15A1,249,380
gene-TRIP13|TRIP13,2340,358
gene-ZDHHC11|ZDHHC11,47,225
gene-TPPP|TPPP,243,52
gene-CEP72|CEP72,439,127
gene-SLC9A3|SLC9A3,67,22
gene-LOC134401786|LOC134401786,0,0
gene-BRD9|BRD9,11570,2082
gene-PLEKHG4B|PLEKHG4B,1191,533
gene-CCDC127|CCDC127,796,161
gene-SDHA|SDHA,1103,2431
gene-FH|FH,4858,4693
gene-CHMP5|CHMP5,4912,2264
gene-BAG1|BAG1,1949,757
gene-MOCOS|MOCOS,392,318
gene-LOC134401817|LOC134401817,670,536
gene-ZNF830|ZNF830,3211,1384
gene-PTPN3|PTPN3,203,512
gene-EPB41L4B|EPB41L4B,1290,1036
gene-FRRS1L|FRRS1L,1334,496
gene-TMEM245|TMEM245,277,634
gene-INO80C|INO80C,354,189
gene-C1H18orf21|C1H18orf21,587,616
gene-LOC134392287|LOC134392287,0,0
gene-GALNT1|GALNT1,9927,3743
gene-LOC134392293|LOC134392293,31,0
gene-RPRD1A|RPRD1A,1903,271
gene-VSTM2A|VSTM2A,18,4
gene-TECRL|TECRL,0,490
gene-FHOD3|FHOD3,82,325
gene-LOC134392316|LOC134392316,62,0
gene-EPHA5|EPHA5,298,49
gene-LOC134392323|LOC134392323,2066,342
gene-LOC134392332|LOC134392332,2219,1785
