gene_id,SRR8754967,SRR8754969,SRR8754971,SRR8754979
gene-ARSK|ARSK,137,659,142,971
gene-RFESD|RFESD,10,19,43,70
gene-GLRX|GLRX,31,56,0,163
gene-RHOBTB3|RHOBTB3,0,18,164,15
gene-SPATA9|SPATA9,0,0,0,14
gene-LOC113415267|LOC113415267,0,0,60,18
gene-LOC113415317|LOC113415317,0,0,0,0
gene-LOC113415322|LOC113415322,2,4,10,22
gene-ELL2|ELL2,739,963,986,2436
gene-LNPEP|LNPEP,30,148,327,3470
gene-LOC113414196|LOC113414196,0,0,22,87
gene-RIOK2|RIOK2,149,410,393,3394
gene-CAST|CAST,552,4469,1586,8408
gene-LOC113417720|LOC113417720,0,0,0,0
gene-ERAP1|ERAP1,686,730,730,2773
gene-RGMB|RGMB,186,535,703,2621
gene-LOC113415346|LOC113415346,6,112,200,382
gene-CHD1|CHD1,324,696,618,1285
gene-LOC113414205|LOC113414205,29,22,9,41
gene-ST8SIA4|ST8SIA4,4,31,26,25
gene-CUNH5orf30|CUNH5orf30,16,92,140,444
gene-LOC113414213|LOC113414213,0,6,11,128
gene-PPIP5K2|PPIP5K2,142,184,396,7270
gene-PAM|PAM,1313,4335,1523,2332
gene-LOC113415487|LOC113415487,0,0,0,0
gene-NUDT12|NUDT12,138,118,274,468
gene-FBXL17|FBXL17,165,254,229,632
gene-PJA2|PJA2,157,472,458,1028
gene-FER|FER,65,131,237,643
gene-LOC113414227|LOC113414227,5,6,5,57
gene-SLC25A46|SLC25A46,107,276,204,887
gene-LOC113417735|LOC113417735,0,0,1,1
gene-TMEM232|TMEM232,11,17,58,345
gene-MAN2A1|MAN2A1,1565,1270,310,2604
gene-WDR36|WDR36,229,560,447,7820
gene-CAMK4|CAMK4,10,18,106,94
gene-STARD4|STARD4,87,14,33,139
gene-LOC113415664|LOC113415664,123,1397,864,2982
gene-LOC113415678|LOC113415678,69,103,48,511
gene-LOC113417718|LOC113417718,1,2,3,5
gene-LOC113417726|LOC113417726,1,1,1,3
gene-LOC113415684|LOC113415684,0,0,0,0
gene-EPB41L4A|EPB41L4A,119,120,189,2021
gene-SRP19|SRP19,273,786,443,2573
gene-APC|APC,369,511,787,2180
gene-REEP5|REEP5,191,1960,976,3553
gene-DCP2|DCP2,63,109,165,2460
gene-YTHDC2|YTHDC2,153,407,746,2068
gene-KCNN2|KCNN2,14,0,42,10
gene-MCC|MCC,32,191,279,1820
gene-LOC113415768|LOC113415768,0,0,0,0
gene-TRIM36|TRIM36,29,175,237,2790
gene-PGGT1B|PGGT1B,148,446,275,1551
gene-CCDC112|CCDC112,20,89,191,139
gene-TICAM2|TICAM2,14,106,65,400
gene-FEM1C|FEM1C,204,829,470,1186
gene-LOC113415811|LOC113415811,769,1142,822,2198
gene-CDO1|CDO1,294,2,1157,24
gene-ATG12|ATG12,190,613,359,1875
gene-AP3S1|AP3S1,177,596,618,2270
gene-LOC113415858|LOC113415858,4,11,16,26
gene-LVRN|LVRN,0,154,75,152
gene-COMMD10|COMMD10,24,71,75,683
gene-DTWD2|DTWD2,11,21,15,142
