gene_id,SRR11524053,SRR11524076
gene-CCDC172|CCDC172,28,0
gene-PANX2|PANX2,44,32
gene-HDAC10|HDAC10,461,140
gene-TUBGCP6|TUBGCP6,1365,256
gene-SELENOO|SELENOO,283,254
gene-TTLL8|TTLL8,5,16
gene-IL17REL|IL17REL,42,68
gene-LOC120305469|LOC120305469,65,0
gene-MLC1|MLC1,273,0
gene-MOV10L1|MOV10L1,1230,0
gene-ADAMTS19|ADAMTS19,46,19
gene-CHSY3|CHSY3,273,31
gene-LOC120305496|LOC120305496,44,4
gene-ACTRT3|ACTRT3,10,0
gene-SAMD7|SAMD7,0,0
gene-MYNN|MYNN,513,223
gene-LRRC34|LRRC34,51,17
gene-LRRIQ4|LRRIQ4,0,0
gene-LRRC31|LRRC31,20,65
gene-MECOM|MECOM,317,288
gene-LOC120305527|LOC120305527,27,11
gene-SEC62|SEC62,1472,643
gene-GPR160|GPR160,81,92
gene-LOC120305610|LOC120305610,14,2
gene-PHC3|PHC3,947,538
gene-AKAP4|AKAP4,194,18
gene-LOC120305666|LOC120305666,125,55
gene-PRKCI|PRKCI,863,287
gene-SKIL|SKIL,379,202
gene-RPL22L1|RPL22L1,613,105
gene-CLDN11|CLDN11,4714,9
gene-SLC7A14|SLC7A14,316,17
gene-SLC2A2|SLC2A2,21,0
gene-EIF5A2|EIF5A2,2172,439
gene-TNIK|TNIK,894,96
gene-TMEM212|TMEM212,4,19
gene-PLD1|PLD1,4543,463
gene-FNDC3B|FNDC3B,1707,1671
gene-LOC120305876|LOC120305876,5,105
gene-GHSR|GHSR,41,20
gene-TNFSF10|TNFSF10,1271,427
gene-ECT2|ECT2,198,46
gene-NCEH1|NCEH1,78,149
gene-SPATA16|SPATA16,0,6
gene-NLGN1|NLGN1,62,10
gene-NAALADL2|NAALADL2,65,57
gene-GRM4|GRM4,9,19
gene-HMGA1|HMGA1,1584,253
gene-SMIM29|SMIM29,240,128
gene-LOC120306191|LOC120306191,320,148
gene-NUDT3|NUDT3,2143,599
gene-PACSIN1|PACSIN1,185,33
gene-LOC120306211|LOC120306211,22,0
gene-SPDEF|SPDEF,4,691
gene-RPS10|RPS10,11487,2822
gene-LOC120306235|LOC120306235,65,27
gene-ILRUN|ILRUN,1189,623
gene-SNRPC|SNRPC,592,108
gene-UHRF1BP1|UHRF1BP1,1125,480
gene-SCUBE3|SCUBE3,507,143
gene-ANKS1A|ANKS1A,3654,289
gene-TCP11|TCP11,248,14
gene-TAF11|TAF11,415,86
gene-LOC120306337|LOC120306337,6,3
gene-LOC120306338|LOC120306338,17,2
gene-ZNF76|ZNF76,993,263
gene-LOC120306371|LOC120306371,17,8
gene-DEF6|DEF6,71,25
gene-PPARD|PPARD,1218,286
gene-LOC120306430|LOC120306430,63,34
gene-LOC120306433|LOC120306433,559,206
gene-FANCE|FANCE,71,19
gene-LOC120306448|LOC120306448,2,0
gene-LOC120306111|LOC120306111,62,11
gene-MDFI|MDFI,264,28
gene-FOXP4|FOXP4,736,1150
gene-LOC120306537|LOC120306537,0,6
gene-LOC120306532|LOC120306532,60,0
gene-LOC120306542|LOC120306542,32,0
gene-TFEB|TFEB,148,216
gene-FRS3|FRS3,1984,255
gene-PRICKLE4|PRICKLE4,1361,236
gene-LOC120306546|LOC120306546,1667,264
gene-LOC120306595|LOC120306595,2,0
gene-TOMM6|TOMM6,313,68
gene-USP49|USP49,442,85
gene-MED20|MED20,2301,609
gene-BYSL|BYSL,454,114
gene-CCND3|CCND3,245,69
gene-PIFO|PIFO,4,85
gene-LOC120306661|LOC120306661,10,2058
gene-TAF8|TAF8,279,80
gene-LOC120306680|LOC120306680,0,460
gene-LOC120306670|LOC120306670,592,38
gene-LOC120306689|LOC120306689,60,6
gene-FMOD|FMOD,163,13
gene-BTG2|BTG2,3184,673
gene-LOC120306707|LOC120306707,2315,93
gene-ATP2B4|ATP2B4,1466,937
gene-KISS1|KISS1,0,7
gene-GOLT1A|GOLT1A,5,7
gene-ETNK2|ETNK2,75,51
gene-SOX13|SOX13,884,303
gene-ZC3H11A|ZC3H11A,5052,1549
gene-SNRPE|SNRPE,454,61
gene-PLEKHA6|PLEKHA6,276,172
gene-LOC120306870|LOC120306870,18,43
gene-PPP1R15B|PPP1R15B,1018,348
