gene_id,SRR28919955,SRR28919960,SRR28919961,SRR28919962,SRR28919963,SRR28919964
gene-SERGEF|SERGEF,5,0,0,0,22,0
gene-SAAL1|SAAL1,235,17,34,43,150,267
gene-KCNC1|KCNC1,0,0,0,0,0,12
gene-LOC136638381|LOC136638381,0,0,0,0,0,0
gene-LOC136634056|LOC136634056,104,5866,1481,2864,5447,377
gene-HPS5|HPS5,420,406,180,455,993,260
gene-GTF2H1|GTF2H1,815,213,141,643,2158,1452
gene-UEVLD|UEVLD,0,0,0,0,0,0
gene-TSG101|TSG101,1473,492,276,846,4237,2912
gene-SPTY2D1|SPTY2D1,183,43,25,172,751,530
gene-TMEM86A|TMEM86A,20,7,26,0,0,2
gene-IGSF22|IGSF22,35,0,0,0,0,97
gene-PTPN5|PTPN5,117,0,0,21,21,82
gene-PTPRJ|PTPRJ,0,36,19,22,23,66
gene-PSMG1|PSMG1,87,31,17,72,367,107
gene-LOC136637098|LOC136637098,0,0,0,0,0,0
gene-OSBPL5|OSBPL5,569,359,322,687,3559,1734
gene-CARS1|CARS1,329,216,86,275,616,351
gene-LOC136662743|LOC136662743,0,0,0,0,73,8
gene-LOC136661180|LOC136661180,0,0,0,14,211,32
gene-CDKN1C|CDKN1C,65,0,18,300,1012,16
gene-SLC22A18|SLC22A18,24,64,109,37,49,14
gene-TRPM5|TRPM5,0,0,0,0,0,0
gene-TSSC4|TSSC4,82,16,19,25,117,299
gene-NAP1L4|NAP1L4,4586,370,223,3038,20417,20510
gene-LOC136638410|LOC136638410,0,0,3,0,2,1
gene-KCNQ1|KCNQ1,11,0,0,0,144,21
gene-LOC136638290|LOC136638290,0,0,0,0,0,0
gene-TH|TH,24,0,0,13,0,55
gene-CD81|CD81,682,435,311,1348,2732,327
gene-IGF2|IGF2,373,1405,3177,54,77,321
gene-MRPL23|MRPL23,6,0,4,8,125,32
gene-TNNT3|TNNT3,20,0,0,0,62,68
gene-TNNI2|TNNI2,35,0,0,46,408,153
gene-LOC136661609|LOC136661609,46,7,0,59,77,11
gene-SYT8|SYT8,37,0,0,16,51,87
gene-LOC136659617|LOC136659617,0,0,0,0,0,0
gene-LSP1|LSP1,297,0,0,0,0,0
gene-CTSD|CTSD,159,172,115,335,1029,60
gene-IFITM10|IFITM10,22,0,2,5,44,4
gene-DUSP8|DUSP8,54,26,22,49,206,50
gene-MOB2|MOB2,284,104,79,1227,7989,542
gene-TOLLIP|TOLLIP,291,198,119,129,485,309
gene-LOC136644014|LOC136644014,32,0,0,0,0,35
gene-MUC5AC|MUC5AC,0,0,0,0,0,0
gene-MUC6|MUC6,0,0,0,0,0,0
